Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
Surf and Turf,947 Dupont Highway,Wyoming,19963.0,01/31/2022,Routine,6-202.14,"Toilet Rooms, Enclosed","947 Dupont Highway
Wyoming, DE 19963
(38.932054992, -75.431164017)"
Surf Bagel Lewes,17382 Coastal HWY,Wyoming,19958.0,06/16/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"17382 Coastal HWY
Wyoming, DE 19958
(38.748301002, -75.177948985)"
Surf Bagel Long Neck,36908 Silicato Dr Suite 13,Millsboro,19966.0,07/14/2023,Routine,4-501.15,"Warewashing Machines, Manufacturers� Operating Instructions","36908 Silicato Dr Suite 13
Millsboro, DE 19966
(38.634579991, -75.196093039)"
Surf Bagel Midway,18675 Coastal Hwy,Wyoming,19971.0,06/10/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","18675 Coastal Hwy
Wyoming, DE 19971
(38.736257003, -75.13835497)"
Surf Bagel Milford,204 Northeast Front Street,Milford,19963.0,02/16/2023,Routine,5-202.12,"Handwashing Sinks, Installation","204 Northeast Front Street
Milford, DE 19963
(38.914014999, -75.425962962)"
Surf's Edge Deli & Pizzeria,100 Coastal Hwy Unit 4,Fenwick Island,19944.0,05/05/2022,Routine,2-402.11,Effectiveness-Hair Restraints,"100 Coastal Hwy Unit 4
Fenwick Island, DE 19944
(38.453152021, -75.05268798)"
Surf's Edge Deli and Pizzeria,100 Coastal Hwy Unit 4,Fenwick Island,19944.0,09/22/2023,Routine,4-602.13,Nonfood Contact Surfaces,"100 Coastal Hwy Unit 4
Fenwick Island, DE 19944
(38.453152021, -75.05268798)"
Sushi Avenue - Shoprite,1600 West Newport Pike,Wilmington,19804.0,03/14/2023,Routine,2-102.12,Certified Food Protection Manager,"1600 West Newport Pike
Wilmington, DE 19804
(39.714617007, -75.627902036)"
Sushi Castle,110 N Dupont Hwy,New Castle,19720.0,11/03/2023,Routine,3-301.11,Preventing Contamination from Hands,"110 N Dupont Hwy
New Castle, DE 19720
(39.666174007, -75.600527998)"
Sushi With Gusto @ Fresh Mkt,30098 Veterns Way,Rehoboth Beach,19971.0,10/02/2023,Routine,3-304.14,"Wiping Cloths, Use Limitation","30098 Veterns Way
Rehoboth Beach, DE 19971
(38.712681014, -75.105672001)"
Sushi Xtreme LLC,4708 Limestone Rd,Wilmington,19808.0,01/06/2022,Routine,3-501.13,Thawing,"4708 Limestone Rd
Wilmington, DE 19808
(39.739240985, -75.692703033)"
Sushi Yama,572-574 W Main St,Middletown,19709.0,09/27/2022,Routine,3-301.11,Preventing Contamination from Hands,"572-574 W Main St
Middletown, DE 19709
(39.447172982, -75.728848984)"
Sussex Academy Of Arts And Sciences,21150 Airport Rd,Georgetown,19947.0,03/16/2023,Routine,6-303.11,Intensity-Lighting,"21150 Airport Rd
Georgetown, DE 19947
(38.697007987, -75.368037976)"
Sussex Amvets Post 2,32592 Long Neck Rd,Millsboro,19966.0,03/18/2022,Routine,6-501.16,Drying Mops,"32592 Long Neck Rd
Millsboro, DE 19966
(38.629414015, -75.174502011)"
Sussex Central High School,26026 Patriots Way,Georgetown,19947.0,09/20/2023,Routine,5-501.17,"Toilet Room Receptacle, Covered","26026 Patriots Way
Georgetown, DE 19947
(38.630399014, -75.32619803)"
Sussex Concessions LLC,7 Clubhouse Drbear Trap Dunes,Ocean View,19970.0,06/07/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","7 Clubhouse Drbear Trap Dunes
Ocean View, DE 19970
(38.535417006, -75.107751971)"
Sussex Consortium School,17344 Sweet Briar Rd,Lewes,19958.0,06/01/2022,Routine,3-307.11,Miscellaneous Sources of Contamination,"17344 Sweet Briar Rd
Lewes, DE 19958
(38.748806011, -75.232120974)"
Sussex Correctional Institution,23203 Dupont Boulevard,Georgetown,19947.0,10/31/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","23203 Dupont Boulevard
Georgetown, DE 19947
(38.659759983, -75.371209018)"
Sussex Health Campus - Cafeteria,100 Wellness Way,Milford,19963.0,09/16/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","100 Wellness Way
Milford, DE 19963
(38.88694602, -75.391855992)"
Sussex Montessori School,24960 Dairy Lane,Seaford,19973.0,10/10/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","24960 Dairy Lane
Seaford, DE 19973
(38.645356981, -75.639401002)"
Sussex Public House,234 Rehoboth Ave,Wyoming,19971.0,03/16/2022,Routine,7-202.12,Conditions of Use,"234 Rehoboth Ave
Wyoming, DE 19971
(38.715508021, -75.08394703)"
Sussex Violation of Probation Center,23207 Dupont Boulevard,Georgetown,19947.0,10/12/2023,Routine,5-205.15,System Maintained in Good Repair,"23207 Dupont Boulevard
Georgetown, DE 19947
(38.657923005, -75.370311986)"
Suya House African Grill,1424 Pulaski Hwy,Newark,19702.0,11/14/2023,Routine,2-103.11,Person-In-Charge-Duties,"1424 Pulaski Hwy
Newark, DE 19702
(39.622456012, -75.680490013)"
Sweet & Treats Restaurant and Bar on Main,2 North Main Street,Smyrna,19977.0,03/03/2023,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","2 North Main Street
Smyrna, DE 19977
(39.301011995, -75.606372028)"
Sweet Daddy's Bar & Grill,3806 Governor Printz Blvd,Wilmington,19802.0,09/28/2023,Routine,6-301.14,Handwashing Signage,"3806 Governor Printz Blvd
Wilmington, DE 19802
(39.753350997, -75.519909009)"
Sweet Disposition,38290 London Ave Unit 2,Selbyville,19975.0,06/26/2023,Routine,2-102.12,Certified Food Protection Manager,"38290 London Ave Unit 2
Selbyville, DE 19975
(38.462727004, -75.145327959)"
Sweet Frog Shop,18598 Coastal Highway Ste 2,Rehoboth Beach,19971.0,08/08/2023,Routine,2-102.12,Certified Food Protection Manager,"18598 Coastal Highway Ste 2
Rehoboth Beach, DE 19971
(38.736360981, -75.141568005)"
Sweet Josephine Dessert Truck,310 West Glenwood Avenue,Smyrna,19977.0,10/18/2022,Routine,8-301.11,Prerequisite for Operation,"310 West Glenwood Avenue
Smyrna, DE 19977
(39.300644993, -75.614280019)"
Sweet Melissa,5407 Peterson Road,Middletown,19709.0,01/25/2022,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","5407 Peterson Road
Middletown, DE 19709
(39.45039201, -75.721779017)"
Sweet Nel's,3901-a Concord Pike,Wilmington,19803.0,07/07/2022,Routine,2-102.12,Certified Food Protection Manager,"3901-a Concord Pike
Wilmington, DE 19803
(39.806275004, -75.548317961)"
Sweet Serenity,22606 Sussex Hwy,Seaford,19973.0,09/29/2022,Follow-up,6-301.11,"Handwashing Cleanser, Availability","22606 Sussex Hwy
Seaford, DE 19973
(38.670140006, -75.593839994)"
Sweets & Treats (MOB),2 North Main Street,Smyrna,19977.0,11/27/2023,Routine,5-205.15,System Maintained in Good Repair,"2 North Main Street
Smyrna, DE 19977
(39.301011995, -75.606372028)"
Swordfish Grille,3200 Silverside Road,Wilmington,19810.0,06/29/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","3200 Silverside Road
Wilmington, DE 19810
(39.808923015, -75.530598031)"
Sydney's Restaurant and Lounge,16388 Samuel Paynter Blvd,Wyoming,19968.0,04/21/2022,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","16388 Samuel Paynter Blvd
Wyoming, DE 19968
(38.764223013, -75.217391036)"
Szechuan Hot Wok,1725 Pulaski Highway,Bear,19701.0,01/05/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","1725 Pulaski Highway
Bear, DE 19701
(39.618439991, -75.696728023)"
T G I Friday's,128 N Dupont Hwy,New Castle,19720.0,01/24/2023,Routine,4-204.112,Temperature Measuring Devices-Functionality,"128 N Dupont Hwy
New Castle, DE 19720
(39.669995988, -75.599150013)"
T- Swirl Crepe,1365 North Dupont Highway,Dover,19901.0,01/27/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"1365 North Dupont Highway
Dover, DE 19901
(39.194205007, -75.539961036)"
Ta Instruments,159 Lukens Dr,New Castle,19720.0,08/08/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","159 Lukens Dr
New Castle, DE 19720
(39.682368012, -75.545469036)"
Taco Bell,19010 Coastal Hwy,Rehoboth Beach,19971.0,09/28/2022,Routine,3-302.12,Food Storage Containers Identified with Common Name of Food,"19010 Coastal Hwy
Rehoboth Beach, DE 19971
(38.72909802, -75.131348034)"
Taco Bell # 17255,116 N Dupont Hwy,New Castle,19720.0,06/15/2022,Routine,4-602.12,Cooking and Baking Equipment,"116 N Dupont Hwy
New Castle, DE 19720
(39.668163997, -75.600719021)"
Taco Bell #036033,26688 Centerview Drive,Millsboro,19966.0,08/23/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","26688 Centerview Drive
Millsboro, DE 19966
(38.57089098, -75.287531975)"
Taco Bell #4640,1501 Governor Square,Bear,19701.0,10/28/2022,Routine,6-301.12,Hand Drying Provision,"1501 Governor Square
Bear, DE 19701
(39.632917004, -75.661661995)"
Taco Bell#2035,3902 Concord Pk,Wilmington,19803.0,07/08/2022,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","3902 Concord Pk
Wilmington, DE 19803
(39.806997985, -75.549122959)"
Taco Bell#2170,4302 Kirkwood Highway,Wilmington,19808.0,03/16/2022,Routine,5-205.15,System Maintained in Good Repair,"4302 Kirkwood Highway
Wilmington, DE 19808
(39.727527988, -75.649780983)"
Taco Express Restaurant,243 Christiana Road,New Castle,19720.0,06/12/2023,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","243 Christiana Road
New Castle, DE 19720
(39.663062016, -75.632793967)"
Taco Grande,600 Justison Street,Wilmington,19801.0,02/17/2022,Routine,2-102.12,Certified Food Protection Manager,"600 Justison Street
Wilmington, DE 19801
(39.733869987, -75.560245996)"
Taco House & Pizza,1727 West 4th Street,Wilmington,19805.0,10/07/2022,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","1727 West 4th Street
Wilmington, DE 19805
(39.748441004, -75.570410982)"
Taco Jardin,106 West Commerce Street,Smyrna,19977.0,03/28/2023,Routine,8-301.11,Prerequisite for Operation,"106 West Commerce Street
Smyrna, DE 19977
(39.299492985, -75.608557023)"
Taco Jardin # 2,106 West Commerce Street,Smyrna,19977.0,03/28/2023,Routine,5-303.13,Mobile Food Establishment Tank Inlet,"106 West Commerce Street
Smyrna, DE 19977
(39.299492985, -75.608557023)"
Taco Mix (Mobile),2136 West Newport Pike,Wilmington,19804.0,07/19/2022,Routine,2-102.12,Certified Food Protection Manager,"2136 West Newport Pike
Wilmington, DE 19804
(39.715042012, -75.641518019)"
Taco Reho,18784 Coastal Highway,Rehoboth Beach,19971.0,03/28/2023,Routine,7-201.11,Separation-Storage,"18784 Coastal Highway
Rehoboth Beach, DE 19971
(38.733175983, -75.136767018)"
Taco Reho MOB,19406 Coastal Hwy,Wyoming,19971.0,03/28/2023,Routine,4-904.11,Kitchenware and Tableware-Preventing Contamination,"19406 Coastal Hwy
Wyoming, DE 19971
(38.721583015, -75.121584961)"
taco zavala,42 Greenbridge Drive,Newark,19713.0,05/10/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"42 Greenbridge Drive
Newark, DE 19713
(39.67698398, -75.723593028)"
Tacos Chabelita,30661 W Sussex Hwy,Laurel,19956.0,04/20/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","30661 W Sussex Hwy
Laurel, DE 19956
(38.563261981, -75.557736035)"
Tacos Don Vicente,624 S Maryland Ave,Wilmington,19804.0,04/26/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","624 S Maryland Ave
Wilmington, DE 19804
(39.723339006, -75.592223041)"
Tacos El Gordo,118 N Race St,Georgetown,19947.0,04/05/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"118 N Race St
Georgetown, DE 19947
(38.692870009, -75.386571035)"
Tacos Emily LLC,16397 Seneca St C2,Lewes,19958.0,04/24/2023,Routine,4-205.10,"Food Equipment, Certification and Classification","16397 Seneca St C2
Lewes, DE 19958
(38.762957011, -75.155446006)"
Tacos Los Carnales LLC,3626 Old Capitol Trail,Wilmington,19808.0,10/11/2023,Complaint,8-301.11,Prerequisite for Operation,"3626 Old Capitol Trail
Wilmington, DE 19808
(39.729381981, -75.634031974)"
Taffy Food Market,701 E 4th St,Wilmington,19801.0,01/06/2022,Routine,2-102.11,Demonstration of Knowledge,"701 E 4th St
Wilmington, DE 19801
(39.737593983, -75.543561986)"
Tagpuan Restaurant,700 Old Capitol Trail Unit 8,Newark,19711.0,11/17/2023,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","700 Old Capitol Trail Unit 8
Newark, DE 19711
(39.693886004, -75.720005993)"
Taj Mahal Restaurant,2314-16 Carpenter Station Rd,Wilmington,19810.0,03/27/2023,Routine,3-301.11,Preventing Contamination from Hands,"2314-16 Carpenter Station Rd
Wilmington, DE 19810
(39.817717015, -75.465984035)"
Takumi Japanese Restaurant,Suite 57-59-55 Independence Mall 16,Wilmington,19803.0,02/16/2022,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","Suite 57-59-55 Independence Mall 16
Wilmington, DE 19803
(39.781079288, -75.544492953)"
Tamburelli's Italian Restaurant,3 West Market Street #456,Greenwood,19950.0,09/18/2023,Routine,4-903.12,Prohibitions,"3 West Market Street #456
Greenwood, DE 19950
(38.807640015, -75.592726961)"
Taqueria Atexquita,220 New Castle Avenue,New Castle,19720.0,02/16/2022,Routine,7-102.11,Common Name-Working Containers,"220 New Castle Avenue
New Castle, DE 19720
(39.686919008, -75.556116987)"
Taqueria El Centenario,625 Delaware Street,New Castle,19720.0,12/11/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"625 Delaware Street
New Castle, DE 19720
(39.663047013, -75.567760037)"
Taqueria El Gallito,37 Petition Lane,Magnolia,19962.0,06/05/2023,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","37 Petition Lane
Magnolia, DE 19962
(39.052569996, -75.464516029)"
Taqueria La Estrella,793 - 795 Pulaski Hwy,Bear,19701.0,01/27/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","793 - 795 Pulaski Hwy
Bear, DE 19701
(39.642341994, -75.644591998)"
Taqueria La Michoacana,84 West Church Street,Selbyville,19975.0,09/07/2023,Routine,2-102.12,Certified Food Protection Manager,"84 West Church Street
Selbyville, DE 19975
(38.456268999, -75.229282023)"
Taqueria Los Compadres,2567 Kirkwood Highway,Newark,19711.0,12/12/2023,Routine,6-301.14,Handwashing Signage,"2567 Kirkwood Highway
Newark, DE 19711
(39.706197544, -75.685886262)"
Taqueria Los Jarritos,110 N Dupont Hwy,New Castle,19720.0,09/09/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","110 N Dupont Hwy
New Castle, DE 19720
(39.666174007, -75.600527998)"
Taqueria Los Primos,3322 Old Capital Trail Suite D,Wilmington,19808.0,06/01/2022,Routine,2-102.12,Certified Food Protection Manager,"3322 Old Capital Trail Suite D
Wilmington, DE 19808
(39.732086989, -75.625657027)"
Taqueria Rojas,3616 Kirkwood Hwy,Wilmington,19808.0,05/06/2022,Routine,2-102.12,Certified Food Protection Manager,"3616 Kirkwood Hwy
Wilmington, DE 19808
(39.733808003, -75.637043005)"
Taqueria Santa Fe Grille,3 S Orange St,Wilmington,19801.0,07/06/2022,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","3 S Orange St
Wilmington, DE 19801
(39.737283015, -75.554776972)"
Target Store T-2764 Christiana De,800 Christiana Mall,Newark,19702.0,08/22/2022,Complaint,6-501.111,Controlling Pests,"800 Christiana Mall
Newark, DE 19702
(39.678292018, -75.649702025)"
Target/starbucks Store 1312,148 John Hunn Brown Rd,Dover,19901.0,04/18/2022,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","148 John Hunn Brown Rd
Dover, DE 19901
(39.159980984, -75.510870971)"
Taste Events,761 Garfield Pkwy,Bethany Beach,19930.0,08/24/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","761 Garfield Pkwy
Bethany Beach, DE 19930
(38.540675979, -75.070781994)"
Taste Garden,25935 Plaza Dr #7,Millsboro,19966.0,03/17/2022,Routine,3-101.11,"Safe, Unadulterated and Honestly Presented","25935 Plaza Dr #7
Millsboro, DE 19966
(38.63193701, -75.193004978)"
Taste Of China,38650 Sussex Hwy,Delmar,19940.0,01/19/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"38650 Sussex Hwy
Delmar, DE 19940
(38.457716009, -75.559747021)"
Taste Of China LLC,1228 Capitol Trail,Newark,19711.0,12/30/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","1228 Capitol Trail
Newark, DE 19711
(39.696534015, -75.710906012)"
Taste Of South Philly,37031 Old Mill Bridge Rd,Selbyville,19975.0,03/03/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","37031 Old Mill Bridge Rd
Selbyville, DE 19975
(38.472552019, -75.114107968)"
Tastea 101,101 Carroll Court,Newark,19711.0,09/01/2022,Routine,6-301.12,Hand Drying Provision,"101 Carroll Court
Newark, DE 19711
(39.681052011, -75.75684496)"
Tastee D's African Restaurant,110 Troubador Way,Newark,19702.0,10/26/2023,Routine,2-102.12,Certified Food Protection Manager,"110 Troubador Way
Newark, DE 19702
(39.642533981, -75.664444033)"
TASTEE'S CHICKEN AND SEAFOOD,147 South New Street,Dover,19901.0,09/06/2022,Routine,6-301.14,Handwashing Signage,"147 South New Street
Dover, DE 19901
(39.157835007, -75.528098967)"
Tasties302,825 North Market Street,Wilmington,19801.0,02/21/2022,Routine,6-301.11,"Handwashing Cleanser, Availability","825 North Market Street
Wilmington, DE 19801
(39.744128012, -75.549044002)"
Tasting Room Dogfish Milton,6 Cannery Village Center,Milton,19968.0,09/07/2022,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"6 Cannery Village Center
Milton, DE 19968
(38.770515015, -75.31041499)"
Tasty Crab House,705 North Dupont Highway,Dover,19901.0,08/11/2022,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","705 North Dupont Highway
Dover, DE 19901
(39.179696017, -75.52733898)"
Tasty Taco and More LLC,1304 Old Lancaster Pike,Hockessin,19707.0,01/10/2023,Routine,6-301.11,"Handwashing Cleanser, Availability","1304 Old Lancaster Pike
Hockessin, DE 19707
(39.788109995, -75.697907021)"
Tasty The Love of Taste,303 South Boardwalk St 2 & 3,Rehoboth Beach,19971.0,08/11/2022,Follow-up,6-301.11,"Handwashing Cleanser, Availability","303 South Boardwalk St 2 & 3
Rehoboth Beach, DE 19971
(38.713697991, -75.075938038)"
Tasty Wok Chinese Restaurant,132 E Main St,Newark,19711.0,04/04/2022,Routine,6-301.12,Hand Drying Provision,"132 E Main St
Newark, DE 19711
(39.683749014, -75.74778999)"
Tatnall Deli & Market,301 W 8th St,Wilmington,19801.0,02/14/2022,Routine,2-102.12,Certified Food Protection Manager,"301 W 8th St
Wilmington, DE 19801
(39.744534995, -75.551540971)"
Taverna Rustic Italian,3549 Silverside Road,Wilmington,19810.0,01/18/2023,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","3549 Silverside Road
Wilmington, DE 19810
(39.809513981, -75.544670995)"
Ted's Montana Grill,3188 Fashion Center Blvd,Newark,19702.0,11/13/2023,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"3188 Fashion Center Blvd
Newark, DE 19702
(39.671438574, -75.648379721)"
Tenderbones Rib Shack,2504a Red Lion Rd,Bear,19701.0,10/26/2022,Routine,2-102.12,Certified Food Protection Manager,"2504a Red Lion Rd
Bear, DE 19701
(39.570334322, -75.697648176)"
Tequila Real Mexican Grill,122 Mulberry Street,Milton,19968.0,02/07/2022,Routine,6-301.12,Hand Drying Provision,"122 Mulberry Street
Milton, DE 19968
(38.778100009, -75.313165009)"
Teriyaki Madness,3311 Concord Pike,Wilmington,19803.0,04/17/2023,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","3311 Concord Pike
Wilmington, DE 19803
(39.801726984, -75.54786098)"
Terra Caf+� & Grille,721 King St,Wilmington,19801.0,10/17/2022,Routine,2-102.12,Certified Food Protection Manager,"721 King St
Wilmington, DE 19801
(39.742986983, -75.548783995)"
Terra CafT & Grille,721 King St,Wilmington,19801.0,01/06/2022,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","721 King St
Wilmington, DE 19801
(39.742986983, -75.548783995)"
Terrace Caf+� at Dupont Experimental Station,200 Powder Mill Road,Wilmington,19803.0,12/28/2021,Routine,6-301.12,Hand Drying Provision,"200 Powder Mill Road
Wilmington, DE 19803
(39.773450005, -75.571549998)"
Texas Roadhouse,22850 Sussex Hwy,Seaford,19973.0,12/28/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","22850 Sussex Hwy
Seaford, DE 19973
(38.664822988, -75.595505981)"
Tex-Mex Burriro,2307 W Newport Pike Ste B,Wilmington,19804.0,08/17/2023,Routine,2-102.12,Certified Food Protection Manager,"2307 W Newport Pike Ste B
Wilmington, DE 19804
(39.715060997, -75.642804976)"
Tex-mex Burriro LLC,2307 W Newport Pike Ste B,Wilmington,19804.0,12/28/2021,Routine,2-102.11,Demonstration of Knowledge,"2307 W Newport Pike Ste B
Wilmington, DE 19804
(39.715060997, -75.642804976)"
Tex-Mex Burrito 2 Inc,620 Plaza Drive Unit 10B,Newark,19702.0,09/05/2023,Routine,3-501.14,Cooling,"620 Plaza Drive Unit 10B
Newark, DE 19702
(39.627286, -75.746467996)"
Tex-Mex Burrito Inc,514 Philadelphia Pike,Wilmington,19809.0,03/03/2022,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","514 Philadelphia Pike
Wilmington, DE 19809
(39.768251004, -75.504986036)"
TGI Fridays,301 Rocky Run Parkway,Wilmington,19803.0,01/11/2022,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","301 Rocky Run Parkway
Wilmington, DE 19803
(39.818549002, -75.54988303)"
Thak Thai,4526 B Kirkwood Highway,Wilmington,19808.0,06/28/2022,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","4526 B Kirkwood Highway
Wilmington, DE 19808
(39.724156996, -75.65636304)"
The Backyard,211 Broadkill Rd,Milton,19968.0,01/10/2022,Routine,4-101.11,Characteristics-Materials for Construction and Repair,"211 Broadkill Rd
Milton, DE 19968
(38.787950002, -75.312121965)"
The Blue Crab Grill,322 Suburban Dr Suburban Plaza,Newark,19711.0,11/13/2023,Routine,2-102.12,Certified Food Protection Manager,"322 Suburban Dr Suburban Plaza
Newark, DE 19711
(39.668017984, -75.77804799)"
The Blue Hen,33 Wilmington Avenue,Rehoboth Beach,19971.0,03/02/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","33 Wilmington Avenue
Rehoboth Beach, DE 19971
(38.715708013, -75.079315023)"
The Blue Scoop,31225-4 Americana Pky,Selbyville,19975.0,07/07/2023,Routine,7-102.11,Common Name-Working Containers,"31225-4 Americana Pky
Selbyville, DE 19975
(38.469930998, -75.11393002)"
The Boulevard Live Entertainment And Restaurant,1036 Lafferty Lane,Dover,19901.0,12/19/2023,Routine,5-202.12,"Handwashing Sinks, Installation","1036 Lafferty Lane
Dover, DE 19901
(39.141456014, -75.496596003)"
The Box Lunch,401 7th Avenue,Wilmington,19805.0,05/11/2022,Routine,2-102.12,Certified Food Protection Manager,"401 7th Avenue
Wilmington, DE 19805
(39.732165988, -75.56894901)"
The Brick-Wood Fries Eats,150 Gateway South Boulevard,Dover,19901.0,02/22/2023,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","150 Gateway South Boulevard
Dover, DE 19901
(39.12435098, -75.49674101)"
The Broadkill Store,Broadkill Beach,Milton,19968.0,05/05/2022,Routine,4-101.16,Sponges Use Limitation,"Broadkill Beach
Milton, DE 19968
(38.82843, -75.21211)"
The Caf+� On 26,84 Atlantic Ave,Ocean View,19970.0,09/20/2023,Routine,6-301.12,Hand Drying Provision,"84 Atlantic Ave
Ocean View, DE 19970
(38.544665011, -75.09461602)"
The Cafe @ AAA,1 River Place,Wilmington,19801.0,05/18/2022,Routine,6-201.11,"Floors, Walls and Ceilings-Cleanability","1 River Place
Wilmington, DE 19801
(39.73691199, -75.558406001)"
The Cafe Joint,100 West 10th Street,Wilmington,19801.0,10/20/2022,Routine,5-501.17,"Toilet Room Receptacle, Covered","100 West 10th Street
Wilmington, DE 19801
(39.745739014, -75.548843004)"
The Cake Sisters,88 Clinton Street,Delaware City,19706.0,10/13/2023,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","88 Clinton Street
Delaware City, DE 19706
(39.578185985, -75.589333966)"
The Castaway's,30739 Sussex Hwy,Laurel,19956.0,09/27/2023,Routine,7-102.11,Common Name-Working Containers,"30739 Sussex Hwy
Laurel, DE 19956
(38.561307992, -75.556592995)"
THE CELTIC PUB,699 Jimmy Drive,Smyrna,19977.0,10/05/2023,Routine,2-401.11,"Eating, Drinking, or Using Tobacco","699 Jimmy Drive
Smyrna, DE 19977
(39.281148016, -75.594851019)"
The Chancery Food Hall,1313 North Market Street,Wilmington,19801.0,01/05/2023,Routine,2-102.12,Certified Food Protection Manager,"1313 North Market Street
Wilmington, DE 19801
(39.74903, -75.546272022)"
The Cheesecake Factory,132 Christiana Mall Space 1820,Newark,19702.0,07/28/2022,Complaint,6-501.111,Controlling Pests,"132 Christiana Mall Space 1820
Newark, DE 19702
(39.678522018, -75.65204703)"
The Chicken House,1224 Capitol Trail,Newark,19711.0,10/30/2023,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"1224 Capitol Trail
Newark, DE 19711
(39.696534015, -75.710906012)"
The Clubhouse At Baywood,32267 Clubhouse Way,Millsboro,19966.0,04/06/2023,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","32267 Clubhouse Way
Millsboro, DE 19966
(38.644154011, -75.187641985)"
The Coffee House,18 Rehoboth Avenue,Rehoboth Beach,19971.0,03/11/2022,Routine,2-102.12,Certified Food Protection Manager,"18 Rehoboth Avenue
Rehoboth Beach, DE 19971
(38.716260003, -75.076400971)"
The Coffee Mill,1700 Coastal Highway,Dewey  Beach,19971.0,06/27/2023,Routine,7-102.11,Common Name-Working Containers,"1700 Coastal Highway
Dewey  Beach, DE 19971
(38.693138984, -75.07441404)"
The Country Store,11 South Main Street,Wyoming,19955.0,01/23/2023,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","11 South Main Street
Wyoming, DE 19955
(39.113061018, -75.542392961)"
The Crab Connect,17580 Coastal Highway,Lewes,19958.0,05/12/2023,Routine,3-305.11,Food Storage-Preventing Contamination from the Premises,"17580 Coastal Highway
Lewes, DE 19958
(38.748351152, -75.171029023)"
The Dairy Bar Family Restaurant,511 East King Street,Seaford,19973.0,04/11/2022,Routine,2-102.12,Certified Food Protection Manager,"511 East King Street
Seaford, DE 19973
(38.643175004, -75.609853033)"
